avg_count_5s,avg_count_10s,avg_count_30s,tot_dist,avg_vel,paste_count,IP_country_code,risk
4.17,3.95,13.85,5934.36,1.83,0,IN,low
3.72,3.29,9.48,4132.7,1.36,0,US,low
3.07,3.43,14.1,5572.77,1.19,0,JP,low
4.59,7.14,14.54,3148.81,1.24,0,US,low
4.03,4.89,10.76,5070.61,1.44,0,IN,low
3.41,7.61,13.71,5156.7,1.33,0,UK,low
4.38,7.8,10.17,5209.76,1.52,0,NO,low
3.47,6.65,13.87,4636.6,1.04,0,JP,low
4.08,6.2,12.59,5557.71,1.63,0,DE,low
3.73,3.53,11.8,4799.85,1.29,0,UK,low
3.72,6.85,10.19,3357.9,1.91,0,UK,low
3.55,3.85,0,3079.16,1.55,0,UK,low
0,0,0,0,0,0,AT,low
3.19,5,9.21,4032.27,1.62,0,AT,low
3.65,6.98,11.07,3420.82,1.36,0,NO,low
4.61,6.42,12.31,4774.43,1.87,0,US,low
3.79,6.39,10.53,3259.35,1.38,0,IN,low
4.48,6.96,8.17,5866.5,1.44,0,IN,low
4.49,6.79,12.18,3979.47,1.32,0,US,low
3.47,7.81,11.12,0,0,0,US,low
4.93,5.7,11.37,3729.31,1.37,0,JP,low
4.11,5.47,12.13,5187.85,1.85,0,JP,low
3.23,7.69,12.57,2501.28,1.3,0,IN,low
4.05,4.86,0,3007.24,1.11,0,DE,low
3.58,3.96,13.73,5558.98,1.43,0,CA,low
4.07,5.48,8.13,2595.84,1.91,0,IN,low
3.67,7,11.67,2146.55,1.23,0,US,low
3.83,7.89,11.27,3909.49,1.71,0,DE,low
3.39,7.77,8.28,4906.79,1.53,0,NO,low
4.6,3.96,14.43,2431.87,1.36,0,IN,low
3.17,5.2,12.98,5505.18,1.29,0,US,low
3.52,7.45,10.42,3982.92,1.9,0,JP,low
3.84,6.74,12.71,2151.68,1.62,0,NO,low
3.44,6.84,11.9,2693.8,1.92,0,IN,low
3.91,5.01,9.47,2462.44,1.81,0,NO,low
3.64,5.23,0,5240.46,1.9,0,UK,low
3.92,7.85,8.34,3638.3,1.08,0,IR,low
3.73,7.14,11.55,2772.37,1.45,0,NO,low
4.84,3.12,8.92,3749.22,1.35,0,CA,low
4.27,0,0,3213.92,1.42,0,UK,low
3.91,7.44,0,4562.12,1.42,0,UK,low
4.17,4.34,9.82,2823.3,1.48,0,US,low
4.97,5.22,11.75,4671.74,1.5,0,IR,low
4.7,4.92,9.56,4094.39,1.92,0,US,low
3.58,3.05,13.56,4001.75,1.7,0,IR,low
4.19,3.68,8.29,3915.76,1.5,0,CL,low
3.1,6.03,14.23,2510.23,1.41,0,AT,low
4.19,4.74,12.56,3988.15,1.58,0,NO,low
4.93,5.13,9.2,3983,1.86,0,UK,low
4.33,6.34,8.28,3593.57,1.3,0,US,low
4.07,3.41,12.97,3567.97,1.75,0,US,low
3.82,5.56,10.19,3073.88,1.25,0,CA,low
4.58,4.4,10.47,2761.19,1.76,0,IN,low
4.75,3.62,10.73,3074.96,1.08,0,CA,low
